Team,Avg,Abbr,week,position,rolling_avg
Los Angeles Chargers,27.14,LAC,1,QB,0.0
Philadelphia Eagles,24.14,PHI,1,QB,0.0
Chicago Bears,23.0,CHI,1,QB,0.0
Jacksonville Jaguars,20.92,JAX,1,QB,0.0
Miami Dolphins,20.86,MIA,1,QB,0.0
Cincinnati Bengals,20.66,CIN,1,QB,0.0
Detroit Lions,19.54,DET,1,QB,0.0
Indianapolis Colts,17.74,IND,1,QB,0.0
Pittsburgh Steelers,16.6,PIT,1,QB,0.0
Tampa Bay Buccaneers,16.46,TB,1,QB,0.0
Minnesota Vikings,16.02,MIN,1,QB,0.0
Las Vegas Raiders,15.18,LV,1,QB,0.0
Arizona Cardinals,15.18,ARI,1,QB,0.0
Denver Broncos,15.1,DEN,1,QB,0.0
Tennessee Titans,14.6,TEN,1,QB,0.0
Green Bay Packers,14.54,GB,1,QB,0.0
Seattle Seahawks,14.46,SEA,1,QB,0.0
Kansas City Chiefs,14.02,KC,1,QB,0.0
New England Patriots,12.5,NE,1,QB,0.0
Baltimore Ravens,10.68,BAL,1,QB,0.0
San Francisco 49ers,9.68,SF,1,QB,0.0
Los Angeles Rams,9.08,LA,1,QB,0.0
New York Jets,9.04,NYJ,1,QB,0.0
Carolina Panthers,8.9,CAR,1,QB,0.0
Buffalo Bills,8.2,BUF,1,QB,0.0
Atlanta Falcons,7.54,ATL,1,QB,0.0
Houston Texans,6.56,HOU,1,QB,0.0
New York Giants,6.32,NYG,1,QB,0.0
Dallas Cowboys,4.7,DAL,1,QB,0.0
Cleveland Browns,3.08,CLE,1,QB,0.0
New Orleans Saints,2.42,NO,1,QB,0.0
Washington Commanders,0.98,WAS,1,QB,0.0
Carolina Panthers,44.7,CAR,1,RB,0.0
Miami Dolphins,41.5,MIA,1,RB,0.0
Chicago Bears,34.5,CHI,1,RB,0.0
Green Bay Packers,33.3,GB,1,RB,0.0
Houston Texans,29.8,HOU,1,RB,0.0
Buffalo Bills,28.4,BUF,1,RB,0.0
Pittsburgh Steelers,26.9,PIT,1,RB,0.0
Indianapolis Colts,26.3,IND,1,RB,0.0
Seattle Seahawks,26.3,SEA,1,RB,0.0
Philadelphia Eagles,25.8,PHI,1,RB,0.0
